번호,유형,직무,초기 복합 사건,주입1,선택1·재료,주입2,선택2·재료,첫 전개 도달 상태,첫 판정,보완 후 재전개,최종 판정,검토 방식
042,위임형,대출상담사 (주택·개인),이직 직후 차주가 잔금대출을 신청하지만 소득 인정자료와 기존 대출 만기·담보평가가 맞지 않음,잔금 전 신용·고용 정보가 바뀌어 기존 한도 조회 무효,M13·M25·M53: 대출 조건·상환·잔금 차액 재비교,은행이 추가 서류와 재심사를 요구,M35·M39: 보완·기한·대체 금융 가능 범위 연결,"신청·비교 자료 가능, 승인·실행 결과 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
043,위임형,대출상담사 (사업자·기업),수주한 기업의 운전자금이 부족한데 매출채권 담보·기존 보증·시설대출 약정이 서로 제한을 만듦,계열 보증의 지급 가능성과 담보 선순위가 추가 확인,M25·M33·M53: 가용 담보·노출·차환 현금 재산정,대주가 조건부 승인을 내지만 보증기관 확인 미도착,M31·M35: 조건부 승인을 실행 가능 상태와 구분,"조달 전략·서류 가능, 보증·대주 실행 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
044,위임형,의사 (만성질환),여러 진료기관을 다니는 환자의 가정 측정과 진료실 수치가 다르고 복약 누락·검사 공백이 발견됨,새 환자 보고가 기존 추적 기록과 불일치하고 검사 필요성이 생김,M18·M25·M38: 진술·측정·추정을 분리해 필요한 확인을 구성,검사 결과와 직접 평가가 아직 없음,M39·M36: 확인 전 가능한 설명·연계와 확정할 수 없는 판단을 구분,"추적·질문·연계 계획 가능, 임상 판단·처치는 외부 확인 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
045,위임형,의사 (정신건강),수면·활동·기분 변화에 대해 환자와 가족 설명이 다르고 치료 중단·부작용 의심·일상 기능 저하가 동반됨,본인 설명과 가족 관찰이 다르고 최근 기능 변화가 보고됨,M18·M25·M38: 정보원별 근거·비밀·관계와 평가 필요를 구분,실제 면담·전문 평가에서만 확인 가능한 부분이 남음,M39·M43: 필요한 평가·위기 연계·전문 기여를 기록,"평가 준비·연계 가능, 진단·치료 성과 종결은 불가",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
046,위임형,심리상담사 (개인),직장 갈등으로 시작한 상담이 반복되는 관계 패턴과 회피로 이어지고 내담자는 과제 수행 없이 같은 어려움을 호소함,상담자가 세운 가설과 다른 행동 패턴을 내담자가 제시,M22·M25·M38: 사례개념화·개입 목표를 갱신,내담자는 설명에는 동의하지만 회기 밖 변화가 아직 없음,M45·M51: 동의를 효과로 세지 않고 다음 관찰·개입 평가 연결,"적응적 상담 경로 있음, 관계·기능 변화는 실제 상호작용 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
047,위임형,심리상담사 (아동·청소년),등교 거부 아동의 행동이 학교와 집에서 다르고 부모가 서로 다른 원인을 주장하며 아이는 상담 자체를 거부함,보호자와 아동이 서로 다른 상담 목표·정보 공유를 요청,M31·M38: 동의·비밀·발달 맥락을 구분,학교 관찰과 직접 놀이·상호작용 자료 미확보,M07·M39: 자료 취득·관계 개입·평가 주체를 연결,"상담 설계 가능, 아동 관찰·실제 효과 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
048,위임형,심리상담사 (부부·가족),부부가 갈등의 책임을 상대에게 돌리고 개별 면담의 비밀이 공동 회기에 영향을 주며 자녀 문제까지 연결됨,한 배우자가 비밀 정보를 제공하고 다른 배우자가 전면 공유 요구,M27·M31·M38: 상담계약·관계·비밀 경계를 재검토,두 사람은 조정 대화 참여 여부부터 합의하지 못함,M34·M39: 가능한 개별 확인·공동 작업 범위·전문 지원을 구분,"절차·중재 경로 가능, 상대의 참여·관계 변화는 강제할 수 없음",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
049,위임형,영양사,"만성질환과 알레르기가 있는 교대근무자가 식단을 지키지 못하고, 예산·조리시설·선호가 권장 식사와 맞지 않음",식사 일지와 실제 구매·섭취 설명이 달라짐,M18·M53: 섭취 추정·영양·비용 제약을 다시 계산,고객이 가능한 식단을 선택하지만 실천·몸 상태 자료는 아직 없음,M38·M51: 이해·실천 계획과 추적 조건 설정,"식단·상담 계획 가능, 실제 건강·행동 효과는 외부 관찰 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
050,위임형,번역가 (산업·법률 문서),설비 계약서와 부속 기술사양의 동일 용어가 다르게 쓰이고 원문 수치·면책 문장이 모호함,원문 부정어와 정의된 용어가 번역에서 반대로 연결된 것을 발견,M21·M25·M43: 해당 조항과 참조 전체의 번역을 수정,원문 모호성에 대해 발주자가 해석을 덧붙이지 말라고 확정,M09·M42: 모호성 보존·수치·참조·변경추적을 검수,주어진 원문·지침 아래 번역 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
051,위임형,번역가 (출판·문학),화자별 말투와 장기 복선이 있는 소설에서 후반 원고가 바뀌고 시대어를 현대어로 바꾸면 인물관계가 달라짐,후반 반전이 바뀌어 앞부분 화자 말투가 복선을 노출,M23·M25: 인물·화자·복선 관련 구간만 재검토,모의 독자·편집 의견이 의미 보존과 리듬 개선안에 일치,M22·M46: 전권 일관성·읽기 경험·판본 검수,제공된 독자 피드백 아래 번역·교정 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
052,위임형,번역가 (영상·게임 현지화),게임의 성별·선택지에 따라 다른 대사가 한 문자열을 공유하고 화면 폭·음성 길이가 언어별로 달라 오류가 생김,공유 문자열이 다른 성별·장면에서 어긋나고 버튼 폭 초과,M07·M25: 키·분기·변수와 장면을 구분해 번역 분리,모의 빌드가 분기·자막 싱크·레이아웃 수정 통과를 반환,M10·M42: 실제 사용 조건별 검수 결과와 번역판본 연결,주어진 빌드 응답 아래 현지화 인수 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
053,위임형,통역사 (국제회의 동시통역),연사가 발표자료와 다른 숫자를 말하고 동시 발언·빠른 발화·음질 저하로 부정어와 단위가 불명확해짐,원음 손실로 숫자 한 구간은 복원 불가,M08·M42: 숫자를 추정해 전달하지 않고 불명 구간 표시·확인 요청,연사는 재발언을 거부하고 청중은 무누락·즉시 전달을 요구,M36·M38: 지연·정확성·입력 손실의 한계를 구분,잃어버린 정보를 즉시 정확히 전할 목표는 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
054,위임형,통역사 (비즈니스·법정),협상 당사자가 의도적으로 모호한 표현을 쓰고 통역사에게 유리하게 풀어 설명해 달라고 요구함,당사자가 조건부 약속을 확정 약속처럼 통역하라고 압박,M27·M38: 발화 수준을 유지하고 역할 경계를 표시,당사자가 원래 조건 표현을 확인하고 상대도 그 뜻으로 응답,M08·M42: 발언·확인·합의 수준 대조,제공된 발화·응답 아래 통역 세션 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
055,위임형,카피라이터,무료체험 광고는 클릭이 높지만 유료 전환 조건을 오해한 고객의 해지가 늘고 제품이 약속한 효익을 뒷받침하지 못함,클릭 높은 카피에서 자동 유료전환 오해가 확인,M18·M22: 효익·조건·사용자 이해를 기준으로 카피 재작성,모의 실험에서 전환은 소폭 감소하지만 오해·환불 감소,M51·M54: 클릭 대신 실제 목표·공헌·이해 지표로 선택,주어진 실험 결과 아래 카피 선정·납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
056,위임형,외주 개발 (웹·앱),예약 서비스 개발 중 중복 결제와 일정 충돌이 발견되고 발주자가 관리자 기능을 추가하면서 출시일은 유지하길 원함,결제 응답 유실과 예약 충돌이 재현됨,M25·M35: 거래 불변조건·중복 방지·변경 범위부터 수정,발주자가 추가 기능·출시일·예산 모두 고수하고 가능 작업량 초과,M33·M35·M38: 필수 수정과 확장 요구의 자원 충돌 제시,"원래 모든 기능의 납기 충족 불가, 범위·시간·예산 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
057,위임형,외주 개발 (시스템 구축·SI),기존 ERP의 고객·상품 코드가 서로 달라 이관 후 매출·재고·회계 잔액이 맞지 않고 양 시스템이 동시에 쓰임,시험 이관 건수는 같지만 코드 매핑으로 재고·회계 잔액 불일치,M52·M42: 의미·코드·금액·권한 기준으로 대사·수정,모의 cutover에서 쓰기 차단·증분 이관·복구·업무 검수 통과,M03·M35·M40: 전환 판본·인수·복구 결과 연결,명시한 전환 환경 아래 SI 인수 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
058,위임형,영상 제작자 (광고·홍보),제품 광고 촬영 후 핵심 기능이 변경되고 재촬영 예산은 없는데 가로·세로 버전과 자막·권리 조건을 모두 맞춰야 함,촬영된 제품 기능이 변경되어 기존 컷의 표현이 사실과 다름,M18·M25: 광고 주장과 컷·자막·음성을 함께 무효화,재촬영 없이도 사실에 맞는 편집안이 있고 매체별 모의 재생 통과,M09·M42·M40: 가로·세로·자막·권리·원본 묶음 검수,주어진 소스·재생 응답 아래 광고 영상 납품 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
059,고용형,경영기획,사업부들은 매출 확대를 요청하지만 모두 같은 개발팀·설비에 의존하고 매출 증가에도 전사 현금은 악화됨,두 사업부 투자안이 동일 설비와 개발자 전 시간을 각각 전제,M25·M33·M53: 전사 자원·현금 기준으로 통합 계산,경영진이 두 출시일·투자규모·차입 한도를 모두 고정,M34·M35: 자원 중복과 현금 부족 시점을 제시,"개별안이 좋아도 전사 동시 실행 불가능, 우선순위 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
060,고용형,전략,기존 제품 매출이 줄어 신규시장에 진입하려는데 고객 인터뷰는 긍정적이지만 구매 의사와 유통 경제성이 확인되지 않음,호의적 인터뷰 고객들이 실제 가격에서는 구매를 거절,M18·M34: 시장 진입 가설을 구매·유통 경제성으로 재정의,작은 모의 판매에서 특정 세그먼트만 유료 수요 확인,M53·M54: 전체 확대 대신 한정 실증·중단 조건 선택,제공된 시장 반응 아래 단계적 진입 결정안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
061,고용형,사업개발,유통사가 독점권과 최소 물량을 요구하지만 내부 제품팀은 고객 맞춤개발을 감당하기 어렵고 파트너 매출 예측도 불확실함,유통사 최소물량 요구가 내부 공급능력을 초과,M35·M53: 독점·물량·개발 약속의 통합 비용 산정,유통사가 파일럿·조건 축소를 거부,M33·M38: 이행 불가능한 약속을 제외하고 결렬 대안 확인,현 조건으로 성사·이행 동시 달성 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
062,고용형,인사 (평가·보상),영업 실적이 반품 전 매출로 평가돼 성과급이 부풀고 지원부서는 성과가 인정되지 않아 이의가 제기됨,반품과 지원부서 공동 기여를 반영하면 성과급 순위가 바뀜,M52·M53: 성과 귀속·산정 규칙·소급 영향 분리,권한 있는 기구가 수정 규칙·이의절차를 확정,M25·M42: 대상자별 재계산·설명·이의 기록 연결,주어진 확정 규칙 아래 평가·보상 정정 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
063,고용형,인사 (조직·인재개발),관리자 교육 만족도는 높지만 현장 행동은 바뀌지 않고 조직 개편 뒤 책임 공백과 핵심인재 이탈이 늘어남,교육 수료자는 늘었지만 업무 승인 병목 때문에 행동 변화 없음,M18·M34: 역량 문제와 조직 권한·보상 문제를 분리,관리자가 새 역할을 수용하나 현장 적용 기간은 아직 없음,M35·M38·M51: 교육·조직 조치와 행동 관찰을 묶음,"개선안 준비 가능, 실제 조직 행동·유지 효과는 추적 필요",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
064,고용형,채용,채용부서는 다재다능한 시니어를 원하지만 예산이 낮고 면접관마다 기준이 달라 좋은 후보가 이탈함,면접관 기준 불일치로 유효 후보가 탈락한 사실 확인,M21·M35: 역할별 과업·증거·평가 기준 재합의,보상 상향·역할 축소 없이 희소 숙련자를 즉시 채용하라고 요구,M33·M38: 현재 후보·예산·기한의 불일치 제시,"고정 조건에서 즉시 채용 보장 불가, 역할·보상·기간 조정 필요",목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
065,고용형,회계,연결대상 회사의 마감일·계정이 다르고 기말 배송·검수 조건과 내부거래 미실현이익이 결산 수치를 바꿈,자회사 기말 매출에 미검수와 내부거래가 섞임,M52·M53: 계정·기간·거래상대 대사와 연결 조정,모의 외부 확인·상대법인 대사가 조정값을 확인,M25·M42: 재무제표·주석·조정분개 판본을 일치시킴,주어진 원장·정책 아래 연결결산 패키지 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
066,고용형,재무,신공장 투자안은 수익성이 좋지만 초기 손실·약정·배당 요구 때문에 자금조달과 신용 여력에 부담이 생김,신공장 수익은 양수지만 첫해 현금 4 부족,M33·M53: 수익성·현금·약정별 대안 비교,배당·투자·차입 제한을 모두 유지하라는 지시,M34·M38: 단계 투자·배당 조정·자금조달 중 필요한 선택 제시,원래 조건으로 자금계획 실행 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
067,고용형,자금,세금·급여·매입대금이 같은 날 몰리고 큰 고객 입금이 지연됐는데 은행 이체 한 건의 처리 여부도 불명확함,은행 응답 유실로 세금 이체의 처리 여부 불명,M03·M10·M25: 재전송 없이 실행 의도·은행 조회로 상태 확인,은행 조회가 원거래 성공을 반환하고 급여 부족분은 별도 확인,M33·M53·M42: 중복 지급 차단·잔액 재대사·지급순서 조정,주어진 은행 응답 아래 지급·대사 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
068,고용형,원가,생산량이 줄어 고정비 배부가 급증했는데 영업은 일부 제품의 단종을 요청하고 부산물 수익과 재작업비도 섞임,저생산량 배부가 제품 적자를 부풀리고 부산물 수익 누락,M52·M53: 회피 가능한 원가·공통 고정비·부산물 분리,모의 생산 자료에서 단종해도 고정비 대부분 존속 확인,M34·M42: 단종 판단을 증분손익으로 재작성,주어진 비용 구조에서 제품·원가 의사결정안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
069,고용형,세무 (사내),해외 자회사 수수료·이전가격·배당·조직재편을 동시에 검토하며 회계처리와 세무상 설명이 다르고 주총 분쟁도 있음,절세 재편안의 회계 설명과 주총 자료가 다른 거래 전제를 사용,M18·M25·M53: 법인·기간·해석별 모델과 공통 사실을 분리,주주 반발로 안건·배당이 바뀌고 과세 해석은 확정되지 않음,M04·M34·M38: 재편·세후 현금·공시·의안의 교차 영향을 재비교,"전략·계산·문서 묶음 가능, 결의·해석·후속 요건은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
070,고용형,펀드매니저 (주식),펀드 환매가 늘었는데 유동성 낮은 보유주식과 거래정지 종목이 있어 벤치마크 위험과 현금 마련이 충돌함,"환매 요구 10, 즉시 현금화 가능액 6으로 감소",M33·M53: 유동성·가격 충격·잔여 투자자 영향을 함께 계산,추가 자금·환매 일정 변경 수단이 주어진 조건에 없음,M34·M35: 모든 환매의 무손실 즉시 지급 불가를 표시,고정 자산·기간에서 원래 지급 목표 불가능,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
071,고용형,펀드매니저 (채권),금리 상승과 발행사 신용 악화가 겹쳐 가격이 하락하고 유동성이 줄었는데 평가가격은 실제 매도가와 차이가 큼,평가가격에 매도 가능한 호가가 없고 신용 위험 증가,M16·M53: 가격·현금화·금리·신용 모형을 분리,위임 범위 내 축소 주문을 냈으나 시장 체결 결과 미정,M10·M25·M33: 주문·체결·노출을 따로 추적,"재조정 판단은 가능, 실제 유동성·체결 결과 대기",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
072,고용형,대체투자 운용 (PE·부동산·인프라),PE 투자기업의 실적이 꺾여 약정 위반 우려가 생기고 추가출자·대출 연장·자산 매각의 이해관계가 충돌함,투자기업 약정 위반과 추가출자 요구가 동시에 발생,M25·M33·M53: 출자·차환·매각의 연결 손실 재산정,대주·주주가 서로 선행 양보를 요구,M38·M35: 조건부 합의·동시 충족 증거·결렬 대안 구성,"구조조정 대안 가능, 당사자 합의·외부 실행은 미정",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
073,고용형,애널리스트 (리서치),기업은 수주 급증을 발표했지만 선수금·취소·납기 자료가 달라 매출 전환과 마진 추정이 바뀜,수주 중 취소 가능분과 저마진 물량이 추가 확인,M18·M53: 매출 전환·마진·평가 가정 수정,회사의 추가 설명과 공시 원문이 일치하는 범위 확인,M43·M47: 반대 시나리오·근거·변경 이유를 보고서에 반영,주어진 자료에서 리서치 보고서 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
074,고용형,트레이더,대량 주문 집행 중 가격이 급변하고 거래소 응답이 지연돼 일부 주문은 체결 여부를 모르는 상태가 됨,주문 확인 응답을 잃고 가격이 급변,M10·M25: 재주문 없이 원주문의 체결·취소 상태 조회,부분 체결·잔량 취소가 확인됨,M33·M53·M42: 실제 잔여 수량·가격·노출로 집행 계획 조정,주어진 체결 증거 아래 주문·잔고 대사 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
075,고용형,여신심사 (개인),대출자의 소득은 충분해 보이나 최근 신규채무와 계좌 거래가 신고소득과 맞지 않고 자동모형은 승인으로 나옴,최근 대출이 누락돼 상환부담이 자동모형 입력과 다름,M18·M52·M53: 검증된 소득·채무로 재계산,보완된 증빙과 가상 심사 규칙이 한도 축소를 지시,M31·M42: 허용 판단 범위·근거·조건을 대조,고정 심사 규칙 아래 조건부 심사의견 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
076,고용형,여신심사 (기업),기업의 이익은 흑자인데 매출채권과 재고가 쌓이고 계열사 보증·차환 만기가 숨은 자금위험을 만듦,매출채권 회수가 늦고 계열 보증 지급이 현실화,M25·M33·M53: 유동성·담보·차환 시나리오 재산정,추가 담보·출자 없이 기존 조건 대출 유지 요구,M34·M35: 위험 한도와 조건 충돌 표시,주어진 위험 한도에서 기존 대출 조건 유지 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
077,고용형,리스크 관리,여러 부서가 각자 한도 안이지만 같은 담보와 거래상대에 노출돼 공통 충격 때 손실·증거금이 동시에 증가함,같은 담보를 세 부서가 서로 독립 자산처럼 계산,M25·M53: 공동 담보·충격·증거금 수요로 재통합,개별 한도는 모두 통과하지만 통합 현금 한도 초과,M33·M34: 신규 노출·담보 이전·축소 대안 제시,현재 전사 한도로 모든 포지션 유지 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
078,고용형,보험 언더라이터 (인수 심사),대형 사업장의 저렴한 갱신을 영업이 요구하지만 손해이력과 설비 상태가 악화됐고 같은 지역 누적 노출이 큼,새 시설 결함이 손해빈도·지역 누적노출을 높임,M18·M33·M53: 위험 사실·모형·조건별 가격 재검토,고객·영업은 무제한 담보와 기존 보험료를 고수,M34·M38: 인수 가능 조건과 금지 노출을 비교,고정 인수 한도에서 요구 조건 충족 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
079,고용형,IB (인수·자금조달 주선),조달을 추진하던 회사에 실사상 회계 쟁점이 발견되고 투자자 수요가 약해져 가격·물량·조건을 바꿔야 함,회계 실사 쟁점으로 투자자 수요와 가격이 낮아짐,M18·M53: 공시·가치·조달금액·조건 수정,발행사는 가격 하한·전액 조달·일정을 모두 고수,M34·M38: 주어진 수요 곡선에서 조달 미달을 확인,원래 조달 조건 동시 달성 불가,목표·조건 조정 필요,해당 없음: 동일 사례를 불필요하게 반복하지 않음,목표·조건 조정 필요,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
080,고용형,법무 (소송·분쟁),고객 손해배상 소송과 임직원 형사 사건에 같은 이메일이 쓰이고 외부로펌마다 다른 전략·자료 요청을 보냄,한 이메일이 민사와 형사에서 다른 전제로 사용됨,M18·M25·M43: 공통 사실·절차별 주장·반대 근거를 분리,회사·임원 사이 이해충돌과 공유 제한 발생,M27·M31·M04: 담당·자료 접근·기존 파생물·제출 전략 재검토,"전략·자료 관리 가능, 소송 결과·전문 수행은 외부 의존",외부 결과·관측 대기,해당 없음: 동일 사례를 불필요하게 반복하지 않음,외부 결과·관측 대기,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
081,고용형,법무 (규제·컴플라이언스),해외 서비스 출시에서 데이터 이전·소비자 고지·파트너 계약 조건이 달라 한 국가의 표준 약관을 복제할 수 없음,해외팀의 실제 데이터 흐름이 법무가 본 설계와 다름,M07·M25·M26: 행위·국가·수신자별 적용 조건 다시 연결,가상 요건표에서 한정 배포와 데이터 지역 분리가 허용됨,M35·M42: 출시 조건·통제·미확인 해석을 구분해 인계,주어진 요건·환경에서 한정 출시 검토안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
082,고용형,계약 관리,고객 계약의 SLA와 공급사 보상 한도가 다르고 자동갱신·가격인상·데이터 반환 조건이 다른 날짜에 발동함,고객 갱신·공급사 종료·가격 변경이 서로 다른 날 발동,M25·M35·M53: 약속·서비스·비용의 시간축 통합,공급사가 연결 기간 연장에 동의하고 권한자도 조건 수락,M31·M40·M42: 변경문·일정·서비스·납품 의무 대조,제공된 합의 아래 계약 이행관리 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
083,고용형,브랜드 마케팅,리뉴얼 캠페인의 신규 이미지가 기존 고객의 신뢰 이유를 약화시키고 판매점은 제품 설명과 프로모션이 다르다고 반발함,신규 시안이 기존 고객의 신뢰 요소를 제거,M22·M23·M54: 세그먼트별 인식·제품 설명·접점 시험,모의 반응에서 기존 자산을 일부 유지한 안이 목표에 적합,M09·M40·M51: 브랜드·판매점 자료를 정렬해 출시안 선택,제공된 반응 아래 캠페인·접점 인계 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
084,고용형,퍼포먼스 마케팅,ROAS는 상승했지만 취소·반품과 기존 고객 비중이 커져 실제 추가이익은 줄고 인기상품은 품절됨,광고 매출 중 기존 고객·환불 비중 증가,M52·M53: 증분 매출·실마진·재고 제약으로 재산정,모의 대조군에서 특정 광고군의 증분이익이 음수,M34·M54: 해당 예산 축소·품절군 제외·후속 실험 선택,주어진 데이터에서 광고 배분 수정안 종결 경로 있음,범위 내 종결 경로,해당 없음: 동일 사례를 불필요하게 반복하지 않음,범위 내 종결 경로,단계별 사건·도구 응답을 가정한 작성자 탁상 모의; 실제 에이전트 실행 아님
