번호,유형,분야,직무,실제 업무,복합 에피소드,필요한 자료,전문가 판단·작업,산출물·실행,실패 조건,재료별 보완,업무 특성 근거 URL,검토 수준
034,위임형,건축·기술,기술사 (기계·전기 설비),냉난방·전기 설비 설계; 장애·에너지 개선,데이터센터 냉각을 절감하려다 특정 랙 과열과 예비 전원 전환 시 냉각 중단이 발견됨,부하·단선도·배관·공조도·계측·기기곡선·제어로직,열·전력 부하와 공통 고장 경로 대조 → 정상·전환·고장 운전조건 해석 → 제어 변경과 실제 시운전 조건 설계,"설비도·부하계산, 운전 sequence, 시험·개선 계획",평균 온도·요금만 좋아지고 국부 과열·전환 실패가 남으면 실패,"M53 부하·유체·전력 계산, M54 고장 모의, M25 설비 의존, M10·M39 현장 시운전 필요",https://www.onetonline.org/link/summary/17-2141.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
035,위임형,보험,보험설계사 (생명·장기),생명·건강 보장 설계; 기존 계약 유지·조정,고객이 보험료를 줄이려 기존 계약을 해지하려 하지만 새 계약에는 과거 질환 관련 조건과 보장 공백 가능성이 있음,기존 약관·가입금액·납입·건강고지·가계예산·가족 필요,실제 보장과 중복·공백 비교 → 신계약의 인수 조건·해지 손실·장기 납입능력 대조 → 고객 이해 확인 후 선택 지원,"보장 비교표, 보험료·유지 시나리오, 제안·설명 기록",월 보험료만 줄이고 보장 공백·조건부 인수·해지 손실을 감추면 실패,"M21 약관 지식, M53 장기현금, M38 설명·이해 확인, M27 적합성·고지 책임 필요",https://www.onetonline.org/link/summary/41-3021.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
036,위임형,보험,보험설계사 (손해·자동차),자동차·사업장 보험 설계; 갱신·사고 접수 지원,배달 차량이 일반 용도로 가입돼 있고 사업장 특약도 실제 운영과 달라 사고 접수에서 보장 다툼이 생김,운행·사업 실태·기존 증권·특약·사고·갱신 견적,실제 위험과 가입 조건 대조 → 누락·중복 보장과 보험자 확인사항 구분 → 갱신·보완·접수 자료 안내,"위험·보장 비교표, 갱신 제안, 사고 접수자료",가장 싼 견적을 고르면서 실제 용도·면책·특약 조건을 확인하지 않으면 실패,"M17 위험 실태, M12·M21 약관 적용, M38 설명, M35 청약·접수 경로 필요",https://www.onetonline.org/link/summary/41-3021.00 | https://www.onetonline.org/link/summary/13-1031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
037,위임형,보험,보험계리사,보험료·준비금 산출; 신상품·가정 검증,장기보험의 해지율·손해율이 예측과 달라지고 재보험 변경·금리 변화까지 겹쳐 수익성과 준비금이 흔들림,계약·보험금·해지·사업비·경제 가정·재보험·상품조건,경험통계와 데이터 품질 검토 → 현금흐름·준비금·손익을 가정별 계산 → 민감도·검증·가정변경 근거 작성,"계리모형, 가정 보고서, 가격·준비금 산출, 검증 메모",평균 손해율만 맞추고 선택효과·해지·보증·공통 충격의 상호작용을 빼면 실패,"M52 경험데이터, M53 계리엔진, M54 장기 시나리오, M43 독립 산출 검증 필요",https://www.onetonline.org/link/summary/15-2011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
038,위임형,보험,손해사정사 (재물·배상),화재·누수 손해사정; 휴업·배상 손실 산정,공장 화재 후 소실 재고와 기존 불량이 섞이고 휴업기간 중 주문 취소가 화재 때문인지 경기 악화 때문인지 다툼,보험약관·현장기록·재고·매입매출·생산·복구견적·주문취소,손해 전 상태와 원인을 분리 → 물적 손해·추가비용·영업손실의 근거 계산 → 약관 조건·중복 보상·협의 쟁점 대조,"손해액 계산, 증빙대장, 손해사정서 초안, 보험자 질의답변",피해자 주장액을 합산하거나 매출 감소 전체를 사고 손해로 처리하면 실패,"M18 사고 인과·증거, M53 손해모형, M39 현장확인, M35 약관별 산정 기준 필요",https://www.onetonline.org/link/summary/13-1031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
039,위임형,보험,손해사정사 (신체·질병),장해·질병 보험금 검토; 의료자료·약관 대조,사고 후 장해 청구에서 기존 질환과 새 손상이 섞이고 진단서마다 기능 제한 평가가 다름,보험증권·약관·사고경위·진료·검사·진단·이전 병력,의학적 사실과 약관상 평가기준 분리 → 차이의 원인·추가 확인 필요성 검토 → 청구·보험자 질의에 근거별 대응,"장해·약관 대비표, 청구증빙, 산정·의견 자료",진단명만으로 지급액을 확정하거나 서로 다른 평가 시점을 혼합하면 실패,"M07 의료 원본, M21 약관·평가 지식, M18 인과·시점, M39 의료전문가 판단 경계 필요",https://www.onetonline.org/link/summary/13-1031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
040,위임형,자산·대출,투자자문사,투자정책·포트폴리오 제안; 정기 리밸런싱,고객 회사 주식에 자산이 집중돼 있는데 주택 잔금이 예정돼 있고 시장 하락 시 거래가 어려움,자산·부채·현금계획·투자목적·거래제약·포지션·시장자료,위험감수와 필수 현금 분리 → 집중·유동성·세후 비용을 반영한 대안 계산 → 실행 가능 일정과 재검토 조건 제시,"투자정책, 자산배분·리밸런싱 제안, 위험·성과 보고",기대수익은 높지만 필수 현금 시점이나 매도 제한을 놓치면 실패,"M33 손실·유동성, M53 포트폴리오, M34 목표 우선순위, M31 자문·실행 권한 구분 필요",https://www.onetonline.org/link/summary/13-2052.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
041,위임형,자산·대출,재무설계사,교육·주거·은퇴 자금설계; 부채·보장 통합,맞벌이 가정이 조기은퇴를 원하지만 부모 돌봄·자녀 학비·변동금리 대출이 겹치고 부부 목표가 다름,소득·지출·부채·연금·보장·가족 목표·세후 자산,목표별 필수·선택 조건 협의 → 장수·소득 감소·금리 변화의 현금흐름 비교 → 실행 순서와 정기 점검 설계,"생애현금흐름표, 저축·부채·보장 계획, 목표별 조정안",단일 수익률 가정으로 은퇴 가능을 단정하거나 배우자 목표·비밀을 합치면 실패,"M53 다기간 모델, M38 목표 협의, M25 가족·약정 상태, M37 추적 필요",https://www.onetonline.org/link/summary/13-2052.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
042,위임형,자산·대출,대출상담사 (주택·개인),주택·개인 대출 조건 비교; 신청·보완 지원,이직 직후 차주가 잔금대출을 신청하지만 소득 인정자료와 기존 대출 만기·담보평가가 맞지 않음,소득·재직·신용·채무·매매계약·담보·금융기관 조건,실제 심사에 필요한 자료 대조 → 금융기관별 확인 가능한 조건 비교 → 보완·대체자금·잔금 일정 조정,"대출 비교표, 신청·보완 자료, 실행 일정·미확정 조건",사전 한도 조회를 확정 승인으로 보고 잔금 지급을 약속하면 실패,"M13 심사조건, M53 상환·금리 비용, M10 신청 상태, M36 승인과 실행 구별 필요",https://www.onetonline.org/link/summary/13-2072.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
043,위임형,자산·대출,대출상담사 (사업자·기업),기업 운전자금·시설자금 조달; 보증·담보 연계,수주한 기업의 운전자금이 부족한데 매출채권 담보·기존 보증·시설대출 약정이 서로 제한을 만듦,재무·자금표·수주·담보·보증·대출약정·지원요건,자금 용도·시점·상환원천 확인 → 보증·담보·약정 중복과 대안 비교 → 승인 조건 충족·자금 실행 추적,"조달 구조표, 신청사업계획, 현금·상환표, 조건 이행목록",한도를 단순 합산하거나 대출 용도·선행 약정 때문에 실행 불가한 안을 제안하면 실패,"M25 담보·약정 관계, M33·M53 현금·노출, M35 금융기관 절차 필요",https://www.onetonline.org/link/summary/13-2072.00 | https://www.onetonline.org/link/summary/11-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
044,위임형,진료·약,의사 (만성질환),만성질환 추적진료; 검사·복약·생활관리 조정,여러 진료기관을 다니는 환자의 가정 측정과 진료실 수치가 다르고 복약 누락·검사 공백이 발견됨,진료기록·처방목록·검사·자가측정·증상·복약·생활기록,측정 신뢰성과 현재 상태 확인 → 복수 치료·순응도·변화 원인 평가 → 필요한 진료·검사·설명과 추적 계획 조정,"진료기록, 문제·약물 목록, 진료 판단자료, 추적·환자 설명",수치 하나를 정상화하는 계획만 내고 병용약·측정오류·급성 변화·실제 진료 필요를 놓치면 실패,"M25 종단 환자상태, M21 임상판단, M38 이해·실행 지원, M39 검사·처방·대면 평가 경계 필요",https://www.onetonline.org/link/summary/29-1215.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
045,위임형,진료·약,의사 (정신건강),정신건강 평가·치료 추적; 재발·위기 대응,수면·활동·기분 변화에 대해 환자와 가족 설명이 다르고 치료 중단·부작용 의심·일상 기능 저하가 동반됨,진료·치료 이력·증상 시간축·약물·가족정보·기능·위험평가,당사자 관점과 관찰 사실 구별 → 원인·위험·치료 반응을 평가 → 실제 진료에서 계획 조정·연계와 추적,"진료기록, 평가·치료 계획, 설명·추적·연계 기록",설문 점수나 가족 말만으로 상태를 확정하거나 안전·동의·의학적 판단을 놓치면 실패,"M18 다중 정보원, M25 종단상태, M38 치료관계, M39 의료전문 판단·위기연계 검증 필요",https://www.onetonline.org/link/summary/29-1223.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
046,위임형,마음·몸,심리상담사 (개인),개인상담 사례개념화; 회기별 개입·종결,직장 갈등으로 시작한 상담이 반복되는 관계 패턴과 회피로 이어지고 내담자는 과제 수행 없이 같은 어려움을 호소함,초기면담·회기기록·동의·생활 기능·목표·반응·안전 정보,호소와 유지 요인을 공동 탐색 → 적합한 개입과 작은 실천을 합의 → 회기 반응·관계 변화에 따라 계획 수정,"사례개념화, 회기 계획·기록, 과제·진행평가·종결 또는 연계",공감 문장을 잘 쓰지만 변화 기제를 파악하지 못하고 회기 목표·관계 손상을 추적하지 못하면 실패,"M22 상담 암묵지, M25 회기 상태, M38 관계·개입, M45·M51 기능 변화 평가 필요",https://www.onetonline.org/link/summary/21-1014.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
047,위임형,마음·몸,심리상담사 (아동·청소년),아동·청소년 상담; 보호자·학교 협력,등교 거부 아동의 행동이 학교와 집에서 다르고 부모가 서로 다른 원인을 주장하며 아이는 상담 자체를 거부함,발달·학교생활·회기 관찰·보호자 면담·동의·기능자료,아동 발달수준과 환경별 패턴 확인 → 관계 형성·보호자 대응·학교 협력의 목표 분리 → 변화와 위험을 추적,"사례개념화, 아동 활동·회기안, 보호자 지도·협력계획",성인용 대화만 적용하거나 보호자 보고를 아동의 의사·사실로 대체하면 실패,"M21 발달·상담 지식, M38 비언어·놀이 및 관계 기술, M31 동의·공유 경계, M39 현장 관찰 필요",https://www.onetonline.org/link/summary/21-1014.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
048,위임형,마음·몸,심리상담사 (부부·가족),부부·가족상담; 별거·관계 정리 지원,부부가 갈등의 책임을 상대에게 돌리고 개별 면담의 비밀이 공동 회기에 영향을 주며 자녀 문제까지 연결됨,각자 호소·관계사·상호작용·상담계약·비밀정책·안전정보,반복 상호작용과 공동 목표 탐색 → 개인 비밀·공동 회기의 경계 조정 → 합의한 행동 변화와 회기 효과 확인,"관계 사례개념화, 회기 개입안, 공동 과제·진행 기록",한쪽의 설득 도구가 되거나 비밀을 무단 공유하고 위험한 공동상담을 계속하면 실패,"M38 다자관계 개입, M27·M31 상담계약·경계, M25 가족 상호작용, M51 관계·기능 평가 필요",https://www.onetonline.org/link/summary/21-1013.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
049,위임형,마음·몸,영양사,개인 영양평가·식단 상담; 질환별 식사관리,"만성질환과 알레르기가 있는 교대근무자가 식단을 지키지 못하고, 예산·조리시설·선호가 권장 식사와 맞지 않음",식사기록·검사·질환·약물·알레르기·근무·예산·식품정보,실제 섭취와 생활 제약 평가 → 영양·의학 조건에 맞는 대체 식사 설계 → 순응·증상·측정 변화로 조정,"식단·대체식 목록, 영양 계산표, 상담·추적 계획",영양 합계만 맞고 실제 구매·조리·근무 중 섭취가 불가능하면 실패,"M53 영양·제약 계산, M21 질환 지식, M38 행동 지원, M39 진료와 영양 업무 경계 필요",https://www.onetonline.org/link/summary/29-1031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
050,위임형,언어,번역가 (산업·법률 문서),산업 매뉴얼 번역; 계약·법률문서 번역,설비 계약서와 부속 기술사양의 동일 용어가 다르게 쓰이고 원문 수치·면책 문장이 모호함,원문 편집본·계약 부속·기존 번역·용어집·도면·독자 요구,문서별 용어·참조 대조 → 법적·기술적 의미가 달라지는 문구 질의 → 모호성 보존·용어 통일·독립 감수,"번역 DOCX·대조본·용어집·질의표, 형식 보존본",유창하지만 수치·부정·정의·참조를 바꾸거나 원문 모호성을 임의 해결하면 실패,"M21 전문 용어, M25 정의·참조 관계, M09 원본 편집, M43 이중언어 감수 필요",https://www.onetonline.org/link/summary/27-3091.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
051,위임형,언어,번역가 (출판·문학),장편소설 번역; 편집자 질의·교정 대응,화자별 말투와 장기 복선이 있는 소설에서 후반 원고가 바뀌고 시대어를 현대어로 바꾸면 인물관계가 달라짐,전권 원고·작가 의도·시대자료·인물설정·출판 지침,화자·시점·복선 지도를 구성 → 의미·리듬·문화 전달 대안 비교 → 전권 일관성과 독서 경험을 감수,"번역 원고, 인명·말투 표, 편집 질의·교정본",문장별 의미는 맞아도 화자 구별·복선·문학적 효과가 사라지면 실패,"M23 작풍, M22 번역 선택 사례, M25 장기 서사, M46 독립 독서·문학 평가 필요",https://www.onetonline.org/link/summary/27-3091.00 | https://www.onetonline.org/link/summary/27-3043.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
052,위임형,언어,번역가 (영상·게임 현지화),게임 UI·대사 현지화; 영상 자막·더빙 번역,게임의 성별·선택지에 따라 다른 대사가 한 문자열을 공유하고 화면 폭·음성 길이가 언어별로 달라 오류가 생김,문자열 키·분기·스크린샷·빌드·음성·타임코드·용어집,발화 맥락과 변수·분기 확인 → 길이·타이밍을 맞춰 번역 → 실제 장면과 선택지에서 기능·말맛 검사,"현지화 파일·자막·더빙 대본, LQA 오류표, 용어집",번역표는 맞아도 변수 손상·성별 호응·버튼 잘림·자막 싱크가 깨지면 실패,"M07 구조·맥락 읽기, M25 키·분기 연결, M09 타임라인, M10·M42 빌드 LQA 필요",https://www.onetonline.org/link/summary/27-3091.00 | https://www.onetonline.org/link/summary/15-1255.01,문서상 책임 배치·보완 분석 / 실제 실행 미검증
053,위임형,언어,통역사 (국제회의 동시통역),국제회의 동시통역; 사전 용어·연사자료 준비,연사가 발표자료와 다른 숫자를 말하고 동시 발언·빠른 발화·음질 저하로 부정어와 단위가 불명확해짐,의제·연사자료·용어집·실시간 음성·채널·부스 인계정보,사전 맥락 준비 → 발화 지연을 관리하며 의미 단위 전달 → 불명 구간·핵심 오류를 즉시 확인·교정,"실시간 통역 음성, 용어·인계자료, 허용된 기록",사후 번역문은 정확해도 실시간 누락·오역·지연이 청중 판단을 바꾸면 실패,"M08 지연·끼어들기, M21 전문용어, M38 실시간 전달, M42 의미·수치 평가 필요",https://www.onetonline.org/link/summary/27-3091.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
054,위임형,언어,통역사 (비즈니스·법정),계약협상 순차통역; 법정·면담 통역,협상 당사자가 의도적으로 모호한 표현을 쓰고 통역사에게 유리하게 풀어 설명해 달라고 요구함,의제·계약용어·발언·메모·역할·비밀 조건,발언 의미·격식·모호성을 유지 → 설명이 필요하면 역할을 명확히 하고 확인 → 발언자별 동의·약속을 구별해 전달,"현장 통역·합의 표현 확인, 용어·질의 기록",통역을 협상 대리나 법률 조언으로 바꾸거나 약속 수준을 임의 강화하면 실패,"M38 화행·대인 맥락, M27 중립·비밀, M08 순차 응답, M31 역할 경계 필요",https://www.onetonline.org/link/summary/27-3091.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
055,위임형,언어,카피라이터,광고 헤드라인·랜딩 카피; 메시지 실험,무료체험 광고는 클릭이 높지만 유료 전환 조건을 오해한 고객의 해지가 늘고 제품이 약속한 효익을 뒷받침하지 못함,고객 인터뷰·상품조건·효익 근거·광고·퍼널·환불·브랜드 톤,구매 저항과 실제 가치 정리 → 근거 있는 메시지 대안 작성 → 전환·해지·고객 이해를 함께 비교,"카피 대안, 랜딩 문안, 메시지 근거표·실험안",클릭만 늘리고 조건 오해·환불을 키우거나 근거 없는 효익을 만들면 실패,"M22 설득 선택 사례, M23 브랜드 톤, M54 실험, M51 실제 전환·유지 성과 필요",https://www.onetonline.org/link/summary/27-3043.00 | https://www.onetonline.org/link/summary/13-1161.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
056,위임형,IT 외주,외주 개발 (웹·앱),웹·앱 신규 외주; 기존 서비스 수정·인수,예약 서비스 개발 중 중복 결제와 일정 충돌이 발견되고 발주자가 관리자 기능을 추가하면서 출시일은 유지하길 원함,계약·요구·기존 코드·API·결제·예약데이터·배포환경,필수 사용자 과업과 변경 범위 합의 → 데이터·결제 상태를 구현·통합시험 → 일정·비용 대안 제시 후 실제 배포·인수,"소스·빌드·배포, 운영·인수 문서, 검증 기록",화면 데모는 되지만 결제 중복·권한·예약 충돌·운영 인수가 안 되면 실패,"M35 요구·변경 계약, M10 개발환경, M25 코드·데이터 의존, M42·M40 운영 인수 필요",https://www.onetonline.org/link/summary/15-1252.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
057,위임형,IT 외주,외주 개발 (시스템 구축·SI),ERP·업무시스템 구축; 데이터 전환·사용자 인수,기존 ERP의 고객·상품 코드가 서로 달라 이관 후 매출·재고·회계 잔액이 맞지 않고 양 시스템이 동시에 쓰임,프로세스·코드표·원천 DB·인터페이스·권한·마감·전환계획,업무·코드 매핑 및 대사 기준 확정 → 시험 이관·예외 수정 → 전환 시점의 쓰기·복구·업무 연속성 검증,"매핑·변환 코드, 이행·대사 보고, cutover·복구 계획, 사용자 교육·인수",건수가 맞아도 거래 의미·잔액·권한·업무 마감이 어긋나면 실패,"M52 데이터 전환, M04 사용자·부서 협의, M35 전환·교육, M42 업무 단위 대사 필요",https://www.onetonline.org/link/summary/15-1252.00 | https://www.onetonline.org/link/summary/13-1082.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
058,위임형,영상 제작,영상 제작자 (광고·홍보),광고 영상 기획·제작; 촬영 외주·편집·매체 납품,제품 광고 촬영 후 핵심 기능이 변경되고 재촬영 예산은 없는데 가로·세로 버전과 자막·권리 조건을 모두 맞춰야 함,브리프·제품근거·콘티·촬영원본·권리·매체규격·예산,메시지·제품 정확성을 재정의 → 재촬영·생성·편집 대안 비교 → 컷·음성·자막·형식별 품질·권리 검수,"콘티·촬영 지시, 편집 프로젝트, 매체별 마스터·자막·납품목록",영상이 화려해도 제품 표현이 틀리거나 타 매체 변형·편집 원본·권리가 빠지면 실패,"M35 제작 명세, M09·M10 편집·렌더, M55 자산, M40 외주·매체별 인수 필요",https://www.onetonline.org/link/summary/27-2012.00 | https://www.onetonline.org/link/summary/27-4032.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
059,고용형,경영·전략,경영기획,연간 사업계획·예산; 월 실적·경영회의,사업부들은 매출 확대를 요청하지만 모두 같은 개발팀·설비에 의존하고 매출 증가에도 전사 현금은 악화됨,사업부 계획·수주·인력·CAPEX·손익·현금·실적,동일 가정으로 계획 대사 → 공유 자원·현금 제약 아래 우선순위 조정 → 실적 차이를 가격·수량·시점으로 분해해 실행 수정,"전사 예산모델, KPI 정의, 경영회의 자료, 조치·책임 목록",사업부 숫자를 합쳤지만 인력 중복·내부거래·현금 부족을 놓치면 실패,"M53 연결 계획모델, M25 부서 의존, M38 목표 조정, M51 원인별 실적 추적 필요",https://www.onetonline.org/link/summary/13-1111.00 | https://www.onetonline.org/link/summary/11-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
060,고용형,경영·전략,전략,시장·경쟁 전략; 투자·철수 포트폴리오,기존 제품 매출이 줄어 신규시장에 진입하려는데 고객 인터뷰는 긍정적이지만 구매 의사와 유통 경제성이 확인되지 않음,고객·경쟁·가격·채널·원가·역량·규제·투자자료,수요·우위 가설의 반증 찾기 → 진입·제휴·축소 대안과 자원 비교 → 작은 검증과 투자 전환 조건 설계,"전략메모, 시장·단위경제 모델, 옵션·투자 기준, 검증계획",시장규모만 크게 잡고 실제 구매·경쟁 반응·실행역량이 없는 전략이면 실패,"M19 탐색, M22 전략 사례, M34 조건부 선택, M54 시장검증, M53 단위경제 필요",https://www.onetonline.org/link/summary/13-1111.00 | https://www.onetonline.org/link/summary/11-2021.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
061,고용형,경영·전략,사업개발,제휴 발굴·사업모델 협의; 신규 판로 실증,유통사가 독점권과 최소 물량을 요구하지만 내부 제품팀은 고객 맞춤개발을 감당하기 어렵고 파트너 매출 예측도 불확실함,파트너 제안·고객수요·원가·공급능력·API·계약·매출 가정,파트너 기여와 실제 수요 확인 → 독점·최소구매·개발비·종료 대안 협상 → 파일럿 성과로 확대 조건 판단,"제휴 제안·사업계획, 계약조건표, PoC·매출전환 계획",MOU 체결을 사업 성과로 세고 실제 고객·마진·납품역량을 확인하지 않으면 실패,"M38 다자협상, M53 사업경제, M35 파일럿·전환, M40 계약 후 운영 인수 필요",https://www.onetonline.org/link/summary/11-2021.00 | https://www.onetonline.org/link/summary/11-2022.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
062,고용형,인사,인사 (평가·보상),성과평가·보상 설계; 승진·연봉 조정,영업 실적이 반품 전 매출로 평가돼 성과급이 부풀고 지원부서는 성과가 인정되지 않아 이의가 제기됨,직무·목표·평가·반품·보상·시장임금·인건비·이의자료,직무별 기여와 측정 왜곡 확인 → 평가·보상 대안의 비용·유인·집단 영향 비교 → 이의·설명·승인 절차 운영,"평가기준·등급 근거, 보상 시뮬레이션, 조정·이의 처리 기록",점수 분포만 맞추고 성과 측정 왜곡·차별·예산·설명가능성을 놓치면 실패,"M21 직무평가, M53 보상모델, M38 조정·이의, M45·M51 집단·행동 영향 검증 필요",https://www.onetonline.org/link/summary/11-3121.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
063,고용형,인사,인사 (조직·인재개발),조직진단·역할 재설계; 리더·직무 교육,관리자 교육 만족도는 높지만 현장 행동은 바뀌지 않고 조직 개편 뒤 책임 공백과 핵심인재 이탈이 늘어남,역할·조직도·설문·면담·업무흐름·이탈·교육·성과,역할·역량·유인 문제를 분리 → 교육과 조직·업무 개선을 구별 → 실제 행동 과제·상사 피드백·성과 전이를 추적,"역할·책임안, 역량·교육설계, 실습·코칭자료, 효과평가",강의자료·만족도만 만들고 현장 실행·역할 충돌·성과 전이를 못 바꾸면 실패,"M22 조직 단서, M35 교육·변화관리, M38 코칭, M54·M51 행동 전이 평가 필요",https://www.onetonline.org/link/summary/13-1151.00 | https://www.onetonline.org/link/summary/13-1111.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
064,고용형,인사,채용,채용요건·소싱; 구조화 면접·오퍼,채용부서는 다재다능한 시니어를 원하지만 예산이 낮고 면접관마다 기준이 달라 좋은 후보가 이탈함,직무·필수역량·지원서·과제·면접평가·보상·퍼널,실제 필요한 성과와 필수 조건 합의 → 같은 기준으로 증거 수집·평가 → 후보 경험·오퍼·입사·정착 결과 확인,"직무기술서, 소싱·면접안, 평가표, 오퍼·채용보고",이력서 키워드나 면접 호감으로 선발하거나 요건·평가·처우가 서로 다르면 실패,"M35 직무·면접 명세, M18 지원자 증거, M38 면접·오퍼, M51 입사 후 성과 필요",https://www.onetonline.org/link/summary/13-1071.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
065,고용형,재무·회계,회계,월·연결 결산; 재무제표·주석 작성,연결대상 회사의 마감일·계정이 다르고 기말 배송·검수 조건과 내부거래 미실현이익이 결산 수치를 바꿈,시산표·원장·연결패키지·계약·재고·내부거래·전기주석,계정·기간·연결범위 대사 → 거래별 인식·추정·정정 근거 검토 → 연결조정과 주석·외부 보고 일치 확인,"결산분개, 연결정산표, 재무제표·주석, 검토조서",분개 차변·대변은 맞지만 수익 인식·연결 제거·판본이 틀리면 실패,"M21 회계정책, M52 연결대사, M53 계산, M25 보고·주석 의존 및 M43 검토 필요",https://www.onetonline.org/link/summary/13-2011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
066,고용형,재무·회계,재무,재무계획·투자평가; 차입·자본조달,신공장 투자안은 수익성이 좋지만 초기 손실·약정·배당 요구 때문에 자금조달과 신용 여력에 부담이 생김,투자현금·사업계획·차입약정·만기·세금·자본비용·주주 요구,투자 가정·조달가능성 확인 → 투자규모·시기·조달구조별 손익·현금·약정 비교 → 결정·조건 이행 추적,"투자·재무모델, 조달안, 이사회 자료, 약정 점검표",NPV만 높고 초기 현금·차입 조건·후속 자금이 없어 실행할 수 없으면 실패,"M53 투자·조달 모델, M33 현금·약정 제약, M34 실행 대안, M38 금융기관 협의 필요",https://www.onetonline.org/link/summary/11-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
067,고용형,재무·회계,자금,일일 자금집행·예측; 외화·유휴자금 운용,세금·급여·매입대금이 같은 날 몰리고 큰 고객 입금이 지연됐는데 은행 이체 한 건의 처리 여부도 불명확함,은행잔액·입출금 예정·승인·통화·결제·이체 응답,확정·예정·불명 현금 구별 → 우선 지급·단기 조달·환전 조건 비교 → 중복 없이 실행·대사,"일일·주간 자금표, 집행·조달 지시, 은행 대사·미결 목록",예상 입금을 확정 현금으로 쓰거나 타임아웃 이체를 중복하면 실패,"M10 은행 실행·조회, M25 지급상태, M33 공유 현금, M53 자금예측 필요",https://www.onetonline.org/link/summary/11-3031.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
068,고용형,재무·회계,원가,제품별 원가·차이 분석; 표준원가·배부 검토,생산량이 줄어 고정비 배부가 급증했는데 영업은 일부 제품의 단종을 요청하고 부산물 수익과 재작업비도 섞임,BOM·공정·작업시간·생산량·불량·매입·배부기준,실제 사용량·가격·능률 차이 대사 → 배부상 이익과 증분 손익 구별 → 가격·제품믹스·개선 대안 평가,"원가계산표, 차이분석, 배부정책·제품별 의사결정 자료",회계상 배부원가만 보고 공헌이익 높은 제품을 단종시키면 실패,"M52 생산·회계 연결, M53 원가·증분모델, M21 배부지식, M34 경영의사결정 필요",https://www.onetonline.org/link/summary/13-2011.00 | https://www.onetonline.org/link/summary/17-2112.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
069,고용형,재무·회계,세무 (사내),법인세·부가세 관리; 국제거래·세무위험 검토,해외 자회사 수수료·이전가격·배당·조직재편을 동시에 검토하며 회계처리와 세무상 설명이 다르고 주총 분쟁도 있음,법인별 원장·계약·거래실질·지분·세무조정·정관·재편안,회계·세무 사실과 해석 분리 → 법인·국가·기간별 과세·현금·사후조건 비교 → 주총·계약·신고 자료 일치 검토,"세무의견·계산, 재편 대안표, 신고·공시 지원자료, 사후관리",일부 세금만 낮춰 이중과세·현금 부족·다른 절차의 설명 충돌을 만들면 실패,"M12·M14 관할·해석, M53 세후 현금, M04 회계·법무 협의, M25 설명·조건 연결 필요",https://ems.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=239048&mi=40999 | https://webtv.nts.go.kr/nts/cm/cntnts/cntntsView.do?cntntsId=7961&mi=6534 | https://www.onetonline.org/link/summary/13-2011.00,문서상 책임 배치·보완 분석 / 실제 실행 미검증
