번호,유형,직무,온라인 위임 단위,제공받을 입력,외부·현장 의존과 제외,권한·자격 확인,직무 고유 실패 기준,내용 구체화의 책임,현재 지원 상태,출처
044,위임형,의사 (만성질환),"제공된 진료기록·검사값·약물 목록 정리, 근거 검토, 진료 판단자료·설명·추적 초안",진료기록·처방목록·검사·자가측정·증상·복약·생활기록,대면 진찰·새 검사·시술; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,수치 하나를 정상화하는 계획만 내고 병용약·측정오류·급성 변화·실제 진료 필요를 놓치면 실패,"M25 종단 환자상태, M21 임상판단, M38 이해·실행 지원, M39 검사·처방·대면 평가 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#044
045,위임형,의사 (정신건강),"제공된 진료·면담 자료의 정리와 근거 검토, 평가·치료계획·설명·연계 초안",진료·치료 이력·증상 시간축·약물·가족정보·기능·위험평가,대면 진찰·새 검사·시술; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,설문 점수나 가족 말만으로 상태를 확정하거나 안전·동의·의학적 판단을 놓치면 실패,"M18 다중 정보원, M25 종단상태, M38 치료관계, M39 의료전문 판단·위기연계 검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#045
046,위임형,심리상담사 (개인),"사례개념화, 회기 계획·기록, 과제·진행평가·종결 또는 연계",초기면담·회기기록·동의·생활 기능·목표·반응·안전 정보,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,공감 문장을 잘 쓰지만 변화 기제를 파악하지 못하고 회기 목표·관계 손상을 추적하지 못하면 실패,"M22 상담 암묵지, M25 회기 상태, M38 관계·개입, M45·M51 기능 변화 평가 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#046
047,위임형,심리상담사 (아동·청소년),"사례개념화, 아동 활동·회기안, 보호자 지도·협력계획",발달·학교생활·회기 관찰·보호자 면담·동의·기능자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,성인용 대화만 적용하거나 보호자 보고를 아동의 의사·사실로 대체하면 실패,"M21 발달·상담 지식, M38 비언어·놀이 및 관계 기술, M31 동의·공유 경계, M39 현장 관찰 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#047
048,위임형,심리상담사 (부부·가족),"관계 사례개념화, 회기 개입안, 공동 과제·진행 기록",각자 호소·관계사·상호작용·상담계약·비밀정책·안전정보,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,한쪽의 설득 도구가 되거나 비밀을 무단 공유하고 위험한 공동상담을 계속하면 실패,"M38 다자관계 개입, M27·M31 상담계약·경계, M25 가족 상호작용, M51 관계·기능 평가 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#048
049,위임형,영양사,"식단·대체식 목록, 영양 계산표, 상담·추적 계획",식사기록·검사·질환·약물·알레르기·근무·예산·식품정보,조리·급식 실물 제공; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,영양 합계만 맞고 실제 구매·조리·근무 중 섭취가 불가능하면 실패,"M53 영양·제약 계산, M21 질환 지식, M38 행동 지원, M39 진료와 영양 업무 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#049
050,위임형,번역가 (산업·법률 문서),"번역 DOCX·대조본·용어집·질의표, 형식 보존본",원문 편집본·계약 부속·기존 번역·용어집·도면·독자 요구,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,유창하지만 수치·부정·정의·참조를 바꾸거나 원문 모호성을 임의 해결하면 실패,"M21 전문 용어, M25 정의·참조 관계, M09 원본 편집, M43 이중언어 감수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#050
051,위임형,번역가 (출판·문학),"번역 원고, 인명·말투 표, 편집 질의·교정본",전권 원고·작가 의도·시대자료·인물설정·출판 지침,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,문장별 의미는 맞아도 화자 구별·복선·문학적 효과가 사라지면 실패,"M23 작풍, M22 번역 선택 사례, M25 장기 서사, M46 독립 독서·문학 평가 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#051
052,위임형,번역가 (영상·게임 현지화),"현지화 파일·자막·더빙 대본, LQA 오류표, 용어집",문자열 키·분기·스크린샷·빌드·음성·타임코드·용어집,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,번역표는 맞아도 변수 손상·성별 호응·버튼 잘림·자막 싱크가 깨지면 실패,"M07 구조·맥락 읽기, M25 키·분기 연결, M09 타임라인, M10·M42 빌드 LQA 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#052
053,위임형,통역사 (국제회의 동시통역),"실시간 통역 음성, 용어·인계자료, 허용된 기록",의제·연사자료·용어집·실시간 음성·채널·부스 인계정보,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,사후 번역문은 정확해도 실시간 누락·오역·지연이 청중 판단을 바꾸면 실패,"M08 지연·끼어들기, M21 전문용어, M38 실시간 전달, M42 의미·수치 평가 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#053
054,위임형,통역사 (비즈니스·법정),허용된 원격 통로에서 실시간 통역·의미 확인·용어·질의 기록,의제·계약용어·발언·메모·역할·비밀 조건,현장 출석 통역; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,통역을 협상 대리나 법률 조언으로 바꾸거나 약속 수준을 임의 강화하면 실패,"M38 화행·대인 맥락, M27 중립·비밀, M08 순차 응답, M31 역할 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#054
055,위임형,카피라이터,"카피 대안, 랜딩 문안, 메시지 근거표·실험안",고객 인터뷰·상품조건·효익 근거·광고·퍼널·환불·브랜드 톤,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,클릭만 늘리고 조건 오해·환불을 키우거나 근거 없는 효익을 만들면 실패,"M22 설득 선택 사례, M23 브랜드 톤, M54 실험, M51 실제 전환·유지 성과 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#055
056,위임형,외주 개발 (웹·앱),"소스·빌드·배포, 운영·인수 문서, 검증 기록",계약·요구·기존 코드·API·결제·예약데이터·배포환경,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,화면 데모는 되지만 결제 중복·권한·예약 충돌·운영 인수가 안 되면 실패,"M35 요구·변경 계약, M10 개발환경, M25 코드·데이터 의존, M42·M40 운영 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#056
057,위임형,외주 개발 (시스템 구축·SI),"매핑·변환 코드, 이행·대사 보고, cutover·복구 계획, 사용자 교육·인수",프로세스·코드표·원천 DB·인터페이스·권한·마감·전환계획,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,건수가 맞아도 거래 의미·잔액·권한·업무 마감이 어긋나면 실패,"M52 데이터 전환, M04 사용자·부서 협의, M35 전환·교육, M42 업무 단위 대사 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#057
058,위임형,영상 제작자 (광고·홍보),"콘티·촬영 지시서, 제공된 촬영본 또는 허용된 생성 자산의 편집·납품",브리프·제품근거·콘티·촬영원본·권리·매체규격·예산,새 촬영·현장 녹음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,영상이 화려해도 제품 표현이 틀리거나 타 매체 변형·편집 원본·권리가 빠지면 실패,"M35 제작 명세, M09·M10 편집·렌더, M55 자산, M40 외주·매체별 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#058
059,고용형,경영기획,"전사 예산모델, KPI 정의, 경영회의 자료, 조치·책임 목록",사업부 계획·수주·인력·CAPEX·손익·현금·실적,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,사업부 숫자를 합쳤지만 인력 중복·내부거래·현금 부족을 놓치면 실패,"M53 연결 계획모델, M25 부서 의존, M38 목표 조정, M51 원인별 실적 추적 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#059
060,고용형,전략,"전략메모, 시장·단위경제 모델, 옵션·투자 기준, 검증계획",고객·경쟁·가격·채널·원가·역량·규제·투자자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,시장규모만 크게 잡고 실제 구매·경쟁 반응·실행역량이 없는 전략이면 실패,"M19 탐색, M22 전략 사례, M34 조건부 선택, M54 시장검증, M53 단위경제 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#060
061,고용형,사업개발,"제휴 제안·사업계획, 계약조건표, PoC·매출전환 계획",파트너 제안·고객수요·원가·공급능력·API·계약·매출 가정,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,MOU 체결을 사업 성과로 세고 실제 고객·마진·납품역량을 확인하지 않으면 실패,"M38 다자협상, M53 사업경제, M35 파일럿·전환, M40 계약 후 운영 인수 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#061
062,고용형,인사 (평가·보상),"평가기준·등급 근거, 보상 시뮬레이션, 조정·이의 처리 기록",직무·목표·평가·반품·보상·시장임금·인건비·이의자료,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,점수 분포만 맞추고 성과 측정 왜곡·차별·예산·설명가능성을 놓치면 실패,"M21 직무평가, M53 보상모델, M38 조정·이의, M45·M51 집단·행동 영향 검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#062
063,고용형,인사 (조직·인재개발),"역할·책임안, 역량·교육설계, 실습·코칭자료, 효과평가",역할·조직도·설문·면담·업무흐름·이탈·교육·성과,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,강의자료·만족도만 만들고 현장 실행·역할 충돌·성과 전이를 못 바꾸면 실패,"M22 조직 단서, M35 교육·변화관리, M38 코칭, M54·M51 행동 전이 평가 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#063
064,고용형,채용,"직무기술서, 소싱·면접안, 평가표, 오퍼·채용보고",직무·필수역량·지원서·과제·면접평가·보상·퍼널,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,이력서 키워드나 면접 호감으로 선발하거나 요건·평가·처우가 서로 다르면 실패,"M35 직무·면접 명세, M18 지원자 증거, M38 면접·오퍼, M51 입사 후 성과 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#064
065,고용형,회계,"결산분개, 연결정산표, 재무제표·주석, 검토조서",시산표·원장·연결패키지·계약·재고·내부거래·전기주석,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,분개 차변·대변은 맞지만 수익 인식·연결 제거·판본이 틀리면 실패,"M21 회계정책, M52 연결대사, M53 계산, M25 보고·주석 의존 및 M43 검토 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#065
066,고용형,재무,"투자·재무모델, 조달안, 이사회 자료, 약정 점검표",투자현금·사업계획·차입약정·만기·세금·자본비용·주주 요구,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,NPV만 높고 초기 현금·차입 조건·후속 자금이 없어 실행할 수 없으면 실패,"M53 투자·조달 모델, M33 현금·약정 제약, M34 실행 대안, M38 금융기관 협의 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#066
067,고용형,자금,"일일·주간 자금표, 집행·조달 지시, 은행 대사·미결 목록",은행잔액·입출금 예정·승인·통화·결제·이체 응답,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,예상 입금을 확정 현금으로 쓰거나 타임아웃 이체를 중복하면 실패,"M10 은행 실행·조회, M25 지급상태, M33 공유 현금, M53 자금예측 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#067
068,고용형,원가,"원가계산표, 차이분석, 배부정책·제품별 의사결정 자료",BOM·공정·작업시간·생산량·불량·매입·배부기준,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,회계상 배부원가만 보고 공헌이익 높은 제품을 단종시키면 실패,"M52 생산·회계 연결, M53 원가·증분모델, M21 배부지식, M34 경영의사결정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#068
069,고용형,세무 (사내),"세무의견·계산, 재편 대안표, 신고·공시 지원자료, 사후관리",법인별 원장·계약·거래실질·지분·세무조정·정관·재편안,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,일부 세금만 낮춰 이중과세·현금 부족·다른 절차의 설명 충돌을 만들면 실패,"M12·M14 관할·해석, M53 세후 현금, M04 회계·법무 협의, M25 설명·조건 연결 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#069
070,고용형,펀드매니저 (주식),"포트폴리오·주문계획, 투자근거, 유동성·위험·성과 보고",투자지침·보유·주문·환매예정·호가·공시·거래제약,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,평가수익률은 좋지만 환매자금 부족·매도 충격·규정 위반을 놓치면 실패,"M53 최적화·기여분석, M33 유동성·한도, M10 주문·대사, M34 투자 논거 재검토 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#070
071,고용형,펀드매니저 (채권),"채권평가·민감도, 신용메모, 거래·위험 보고",곡선·스프레드·채권조건·재무·평가·호가·보유·약정,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,듀레이션 하나로 위험을 설명하거나 평가가를 실행 가능 가격으로 간주하면 실패,"M21 채권조건·모형, M53 현금·민감도, M16 실행호가, M33 결합 위험 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#071
072,고용형,대체투자 운용 (PE·부동산·인프라),"투자심의·운영개선안, 가치·회수모델, 약정·협상자료",투자계약·주주권리·차입·영업지표·가치평가·자금·매각제안,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,장부 평가액을 방어하려 추가자금을 넣으면서 실제 회수·권리·현금 위험을 감추면 실패,"M53 투자·회수모델, M38 다자협상, M33 자본호출·노출, M25 권리·약정 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#072
073,고용형,애널리스트 (리서치),"리서치 보고서, 실적·가치 모델, 투자논거·촉매·위험표",공시·실적·수주·산업통계·경쟁·컨퍼런스콜·기존모델,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,경영진 발표를 그대로 예측치로 바꾸거나 같은 원천 재인용을 독립 근거로 세면 실패,"M19 원천탐색, M18 사실·예측 구분, M53 동인 모델, M47 추정 변경 이력 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#073
074,고용형,트레이더,"주문·체결기록, 집행품질·슬리피지, 위험·예외 보고",주문목표·한도·호가·체결·거래소 상태·포지션·시간조건,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,주문 API 성공만 보고 포지션을 확정하거나 중복 주문·지연 노출을 놓치면 실패,"M08·M10 저지연 실행, M25 주문상태, M33 합산 노출, M53 집행분석 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#074
075,고용형,여신심사 (개인),"심사의견, 한도·조건 계산, 보완요청·결정 기록",신청·소득·채무·신용·담보·거래·모형결과·심사기준,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,점수만 따르고 상환부담·자료 위조·대리변수 영향을 검토하지 않으면 실패,"M18 신청증거, M53 상환·평가, M34 예외 판단, M27·M45 설명·공정성 검사 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#075
076,고용형,여신심사 (기업),"여신심사서, 신용·현금모델, 담보·조건표, 모니터링 기준",재무·계좌·채권연령·재고·수주·담보·보증·약정,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,담보감정가만 믿고 중복 보증·현금전환 악화·조건 이행 실패를 놓치면 실패,"M25 그룹·보증 연결, M53 현금·신용, M33 노출, M37 사후 징후 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#076
077,고용형,리스크 관리,"위험·집중도 보고, 스트레스 결과, 한도·완화 조치안",포지션·거래상대·담보·약정·시장·손실·모형·한도,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,부서별 위험 수치를 더한 것만으로 분산효과·비선형 손실을 판단하면 실패,"M52 노출통합, M53·M54 결합 모형, M33 한도, M43 모형·데이터 독립검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#077
078,고용형,보험 언더라이터 (인수 심사),"인수검토서, 조건·추가자료 요청, 요율·누적 검토",청약·사업·재물·손해·방재·검진 등 위험자료·재보험·누적,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,개별 계약의 보험료만 보고 누적 재해노출·제외조건·불완전 자료를 놓치면 실패,"M21 인수기준, M53 요율·누적, M18 실태정보, M34 예외·영업 압력 구분 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#078
079,고용형,IB (인수·자금조달 주선),"거래제안·가치모델, 투자자 자료, 조건표·실사·종결목록",실사·재무·계약·발행조건·투자자 수요·규정·자금계획,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,관할·행위별 자격자 전속·명의·위임 조건 확인; 자격 행위 자체의 대체는 주장하지 않음,투자자 자료는 낙관적으로 쓰고 계약·실사 위험은 반영하지 않거나 인수·자문 역할을 섞으면 실패,"M04 실사·법무협력, M38 수요·조건 협상, M53 가격·조달, M31 역할·승인 경계 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#079
080,고용형,법무 (소송·분쟁),"사건대장, 로펌 지시·증거묶음, 전략·비용·충당 검토, 합의안",사건·계약·증거·로펌 의견·비용·보험·공시·임직원 관계,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,외부로펌 결과를 붙이기만 하고 회사·임원 이해충돌과 제출 설명 모순을 놓치면 실패,"M04 전문팀 조정, M25 사건·자료 연결, M31 회사 위임, M34·M43 통합 판단 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#080
081,고용형,법무 (규제·컴플라이언스),"규제 적용표, 통제·출시조건, 의견·질의자료, 운영 점검",국가·서비스흐름·데이터·규정·기관안내·계약·통제증거,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,법령 목록만 만들고 실제 데이터·행동·담당 통제와 연결하지 않으면 실패,"M12·M14 적용 해석, M25 행위·관할 연결, M35 통제설계, M37 규정·운영 변화 감시 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#081
082,고용형,계약 관리,"계약 redline, 조항·의무대장, 승인기록, 갱신·종료 계획",계약 원본·수정대조·협상메일·약정·운영원가·만기,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,서명본 저장은 했지만 실제 의무·갱신·위험전가 차이가 운영에 반영되지 않으면 실패,"M07 계약 구조, M25 조항·이벤트 연결, M38 협상, M37 만기·조건 감시 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#082
083,고용형,브랜드 마케팅,"브랜드 전략·캠페인 브리프, 메시지 체계, 채널 가이드·효과보고",고객인식·브랜드추적·경쟁·상품근거·채널·매출·캠페인,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,화제성만 높고 제품 약속·고객 인식·매장 경험이 어긋나면 실패,"M23 브랜드 정체성, M22 고객 단서, M35 통합 실행, M54·M51 브랜드·매출 효과검증 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#083
084,고용형,퍼포먼스 마케팅,"광고운영안, 귀속·이익 대시보드, 소재·랜딩 테스트, 예산 변경",광고·클릭·주문·고객·반품·마진·재고·귀속 정의,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,플랫폼 매출만 최적화해 중복귀속·취소·자기잠식·품절 광고비를 놓치면 실패,"M52 광고-주문 연결, M53 이익 최적화, M54 증분 실험, M10 집행·M51 순성과 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#084
085,고용형,콘텐츠 마케팅,콘텐츠 맵·원고·편집안·배포계획·성과보고,검색질의·고객질문·기존콘텐츠·상품정보·리드·매출,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,글 수·조회수만 늘고 제품 적합 고객의 다음 행동이나 사실 정확성이 개선되지 않으면 실패,"M21 상품지식, M34 주제 선택, M09 제작, M25 주장·링크, M51 리드·계약 연결 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#085
086,고용형,CRM,"세그먼트·자동화 여정, 메시지·혜택안, 대조평가·실행기록",고객ID·주문·동의·접점·쿠폰·마진·캠페인·대조군,새 현장·실물 수행은 현재 범위에 포함하지 않음; 상대·기관의 결정과 실제 성과는 관측 전 미확정,행위·대상별 위임·동의·접근·서비스 조건 확인; 직무명으로 실행 권한을 부여하지 않음,재구매율은 올라도 할인 누수·중복접촉·동의 위반·피로도가 커지면 실패,"M52 고객 식별, M31·M32 동의·접근, M54 대조실험, M10 캠페인·M51 증분이익 필요",설계 범위 정리 / 실제 구현·전문 능력 미검증,docs/reviews/occupation-work-review.csv#086
